species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Grus canadensis,3,Anhui;Jilin;Liaoning,2011,2017,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Grus vipio,3,Gansu;Shanxi;Sichuan,2019,2023,FALSE,FALSE,not_modelled_at_all
Anthropoides virgo,3,Anhui;Beijing;Tianjin,2002,2021,FALSE,FALSE,not_modelled_at_all
Erithacus rubecula,3,Xinjiang;Jilin;Ningxia,2010,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ficedula narcissina,3,Anhui;Jiangxi;Liaoning,2011,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ficedula parva,3,Hebei;Shanghai;Hong Kong,2008,2013,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Oenanthe deserti,3,Shanghai;Sichuan;Zhejiang,2012,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phoenicurus ochruros,3,Hunan;Shanghai;Zhejiang,2013,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Bubulcus ibis,3,Heilongjiang;Shanxi;Tianjin,2002,2017,FALSE,FALSE,not_modelled_at_all
Tyto alba,3,Guangxi;Hainan;Tibet,2004,2021,FALSE,FALSE,not_modelled_at_all
Sula sula,3,Hebei;Jiangsu;Zhejiang,2017,2024,FALSE,FALSE,not_modelled_at_all
